# ,,     , EE000, EE001, EE002, EE003, EE004, EE005
# ,,     ,86.7,87.5,87.6,87.8,87.9,87.9
# J,N, M ,WFE000,WFE001,WFE002,WFE003,WFE004,WFE005
4,2,2,77.2,-25.6,-16.2,3.6,32.6,36.8
5,2,0,70,-29.4,-15.4,-52.2,48.4,-9
6,2,-2,-3.6,6.4,33,-3.4,21,-94.8
7,3,3,-7.6,14,-2.8,5.6,-21.2,-33.8
8,3,1,-6.2,28.8,13.6,-21.2,2.6,5.4
9,3,-1,13.6,-1.2,-53.6,-60,-24.6,-26.6
10,3,-3,43,66,-20,-25.2,5.8,3.8
11,4,4,13.4,-5.8,-14.2,10,15.2,42.4
12,4,2,2.2,4.4,-29.2,-24.6,23.6,1
13,4,0,7.8,-2,-37.4,-35,18.8,-5
14,4,-2,7,-11.2,-7.8,-2.2,25.8,-38.4
15,4,-4,36.6,17.6,4,-8.4,-28.8,-20.6
16,5,5,-46.4,33.2,31.6,16,-22.6,-12.2
17,5,3,2.6,23.8,1.2,12,-2.6,-18.2
18,5,1,4,10.2,-8.2,0,0.8,-4
19,5,-1,-15.2,24.2,18.4,16.4,17.6,21.2
20,5,-3,-14.6,7.8,-16.4,22.4,-9,26.6
21,5,-5,13.4,47.6,-22.8,23.2,-17.4,-14.6
22,6,6,15,8,-29.8,-14.2,29.2,18.4
23,6,4,19,10,-24.2,-29.8,-12.4,7.2
24,6,2,14.8,16.4,-6.6,-3.2,-0.4,-15
25,6,0,-11,17.2,13.4,7.6,-4.8,-12.4
26,6,-2,17,5.2,-0.2,-4,10.2,18.4
27,6,-4,-11.2,3.4,28.2,19.4,14.8,-3.8
28,6,-6,-0.8,2.6,13.6,-5.8,2.8,-24.6
29,7,7,-7.4,-5.2,3.2,-14.2,33,-2.6
30,7,5,5.8,13.8,-6,-4,0.4,-11.6
31,7,3,7.6,3,-2.4,5.2,11.8,-1
32,7,1,2.4,2.8,-5.6,6,-3.8,-4.4
33,7,-1,-12.2,-11.4,-15.6,8,27.4,-7.8
34,7,-3,0.8,-9.4,-9,6.4,19.2,17.2
35,7,-5,-15.4,14,0.2,-17.6,10,9.8
36,7,-7,1.4,0.6,-4.6,-10.8,-12.4,-24.2
